"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongArtistsComparatorMaximumOfContainment record1Value","[0] SongArtistsComparatorMaximumOfContainment record2Value","[0] SongArtistsComparatorMaximumOfContainment record1PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment record2PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment similarity","[0] SongArtistsComparatorMaximumOfContainment postproccesedSimilarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity similarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity postproccesedSimilarity","[2] SongDateComparator2Years record1Value","[2] SongDateComparator2Years record2Value","[2] SongDateComparator2Years record1PreprocessedValue","[2] SongDateComparator2Years record2PreprocessedValue","[2] SongDateComparator2Years similarity","[2] SongDateComparator2Years postproccesedSimilarity","[3] AlbumTitleComparatorLevenshtein record1Value","[3] AlbumTitleComparatorLevenshtein record2Value","[3] AlbumTitleComparatorLevenshtein record1PreprocessedValue","[3] AlbumTitleComparatorLevenshtein record2PreprocessedValue","[3] AlbumTitleComparatorLevenshtein similarity","[3] AlbumTitleComparatorLevenshtein postproccesedSimilarity"
"WekaMatchingRule","deezer_21859","musico_8772","0.13968408565335916",,"jim croce","jim croce","jim croce","jim croce","1.0","1.0","time in a bottle","time in a bottle","time in a bottle","time in a bottle","1.0","1.0","1998-04-21T00:00","1972-04-01T00:00","1998-04-21T00:00","1972-04-01T00:00","0.0","0.0",,,"the definitive croce","you dont mess around with jim","0.1724137931034483","0.1724137931034483"
"WekaMatchingRule","deezer_9542","musico_9108","7.248109788071581E-4",,"live","the allman brothers band","live","the allman brothers band","0.0","0.0","meltdown","melissa","meltdown","melissa","0.375","0.375","1999-09-23T00:00","1972-02-12T00:00","1999-09-23T00:00","1972-02-12T00:00","0.0","0.0",,,"the distance to here","eat a peach","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","deezer_21277","musico_370","4.122922026324717E-4",,"worakls","travis scott","worakls","travis scott","0.0","0.0","salzburg","saint","salzburg","saint","0.25","0.25","2018-11-09T00:00","2017-12-21T00:00","2018-11-09T00:00","2017-12-21T00:00","0.0","0.0",,,"hungry 5 the best of 5 years","huncho jack jack huncho","0.2142857142857143","0.2142857142857143"
"WekaMatchingRule","deezer_1736","musico_5617","4.867122548647579E-4",,"limp bizkit","information society","limp bizkit","information society","0.0","0.0","re-arranged","repetition","rearranged","repetition","0.18181818181818177","0.18181818181818177","2007-11-01T00:00","1988-06-21T00:00","2007-11-01T00:00","1988-06-21T00:00","0.0","0.0",,,"greatest hitz","information society","0.3157894736842105","0.3157894736842105"
"WekaMatchingRule","deezer_19342","musico_6086","0.5406447093769127","0","lionel richie","lionel richie","lionel richie","lionel richie","1.0","1.0","say you, say me","say you, say me","say you say me","say you say me","1.0","1.0","2008-03-20T00:00","1986-01-01T00:00","2008-03-20T00:00","1986-01-01T00:00","0.0","0.0",,,"dancing on the ceiling expanded edition","dancing on the ceiling","0.5641025641025641","0.5641025641025641"
"WekaMatchingRule","deezer_14906","musico_858","0.9976608212798946","1","cole swindell","cole swindell","cole swindell","cole swindell","1.0","1.0","let me see ya girl","let me see ya girl","let me see ya girl","let me see ya girl","1.0","1.0","2014-02-18T00:00","2014-02-18T00:00","2014-02-18T00:00","2014-02-18T00:00","1.0","1.0",,,"cole swindell","cole swindell","1.0","1.0"
"WekaMatchingRule","deezer_6870","musico_839","3.7418176198844295E-4",,"doves","blake shelton","doves","blake shelton","0.0","0.0","satellites","sangria","satellites","sangria","0.30000000000000004","0.30000000000000004","2012-10-05T00:00","2014-09-30T00:00","2012-10-05T00:00","2014-09-30T00:00","0.0","0.0",,,"5 album set lost soulsthe last broadcastlost sidessome citieskingdom of rust","bringing back the sunshine","0.14473684210526316","0.14473684210526316"
"WekaMatchingRule","deezer_4722","musico_4827","7.539749369888756E-4",,"gravenhurst","jon secada","gravenhurst","jon secada","0.0","0.0","animals","angel","animals","angel","0.4285714285714286","0.4285714285714286","2005-05-09T00:00","1992-01-01T00:00","2005-05-09T00:00","1992-01-01T00:00","0.0","0.0",,,"fires in distant buildings","jon secada","0.15384615384615385","0.15384615384615385"
"WekaMatchingRule","deezer_3205","musico_1170","0.0015318367024011808",,"the bees","daughtry","the bees","daughtry","0.0","0.0","horsemen","home","horsemen","home","0.5","0.5","2004-06-28T00:00","2006-01-01T00:00","2004-06-28T00:00","2006-01-01T00:00","0.0","0.0",,,"free the bees","its not overthe hits so far","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","deezer_5161","musico_6370","4.818196171891916E-4",,"the calling","the alan parsons project","the calling","the alan parsons project","0.0","0.0","stigmatized","stereotomy","stigmatized","stereotomy","0.2727272727272727","0.2727272727272727","2011-02-04T00:00","1985-11-01T00:00","2011-02-04T00:00","1985-11-01T00:00","0.0","0.0",,,"the best of","stereotomy expanded edition","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","deezer_14233","musico_7952","2.1200744536264783E-4",,"travis scott","stevie wonder","travis scott","stevie wonder","0.0","0.0","astrothunder","as","astrothunder","as","0.16666666666666663","0.16666666666666663","2018-08-03T00:00","1976-09-28T00:00","2018-08-03T00:00","1976-09-28T00:00","0.0","0.0",,,"astroworld","songs in the key of life","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","deezer_11022","musico_5391",,"0","moby","asia","moby","asia","0.0","0.0","beautiful","days like these","beautiful","days like these","0.06666666666666665","0.06666666666666665","2005-03-14T00:00","1990-01-01T00:00","2005-03-14T00:00","1990-01-01T00:00","0.0","0.0",,,"hotel","then  now","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","deezer_14684","musico_4736",,"0","ozuna","p jervier","ozuna","p jervier","0.0","0.0","alone","stay","alone","stay","0.0","0.0","2022-10-11T00:00","1993-11-29T00:00","2022-10-11T00:00","1993-11-29T00:00","0.0","0.0",,,"alone","always and forever","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","deezer_18529","musico_5293","0.9143046938341629","1","poison","poison","poison","poison","1.0","1.0","unskinny bop","unskinny bop","unskinny bop","unskinny bop","1.0","1.0","2006-03-07T00:00","1990-01-01T00:00","2006-03-07T00:00","1990-01-01T00:00","0.0","0.0",,,"flesh  blood","flesh  blood","1.0","1.0"
"WekaMatchingRule","deezer_8027","musico_476","7.981589598000878E-4",,"kiss","blake shelton","kiss","blake shelton","0.0","0.0","every time i look at you (live)","every time i hear that song","every time i look at you ","every time i hear that song","0.5161290322580645","0.5161290322580645","2014-10-27T00:00","2016-05-20T00:00","2014-10-27T00:00","2016-05-20T00:00","0.0","0.0",,,"mtv unplugged","if im honest","0.07692307692307687","0.07692307692307687"
"WekaMatchingRule","deezer_7792","musico_5952",,"0","phil wickham","wa wa nee","phil wickham","wa wa nee","0.0","0.0","desire","stimulation","desire","stimulation","0.09090909090909094","0.09090909090909094","2014-06-21T00:00","2008-06-28T00:00","2014-06-21T00:00","2008-06-28T00:00","0.0","0.0",,,"singalong","wa wa nee","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","deezer_16296","musico_2281","4.122922026324717E-4",,"nelly furtado","robin thicke","nelly furtado","robin thicke","0.0","0.0","maneater","magic","maneater","magic","0.25","0.25","2007-03-08T00:00","2008-01-01T00:00","2007-03-08T00:00","2008-01-01T00:00","0.0","0.0",,,"loose","something else","0.2142857142857143","0.2142857142857143"
"WekaMatchingRule","deezer_12135","musico_9737","0.0016285572737242424",,"liv kristine","bobby vinton","liv kristine","bobby vinton","0.0","0.0","take good care","take good care of my baby","take good care","take good care of my baby","0.56","0.56","2005-01-01T00:00","1991-09-03T00:00","2005-01-01T00:00","1991-09-03T00:00","0.0","0.0",,,"deus ex machina","16 most requested songs","0.17391304347826086","0.17391304347826086"
